Station code,Name of the Monitoring Location,State Name,Temperature 0 C_min,Temperature 0 C_max,Dissolved Oxygen mg L_min,Dissolved Oxygen mg L_MAX,pH6.5 MIN,pH6.5 MAX,Conductivity µmho cm MIN,conductivity µmho cm MAX,Bio-chemical Oxygen Demand mg L,Bio-chemical Oxygen Demand mg L MAX,Nitrate mg L MIN,Nitrate mgL MAX,Fecal Coliform MIN,Fecacal coliform MAX,Total Coliform MPN 100 mL MIN,Total Coliform MPN 100 mL2 MAX,Year,aquatic_score,water_type,pH_category
30089,"RIVER         RAVI         AT LAKHANPUR, J & K",JAMMU & KASHMIR,17.0,26.0,9.0,10.4,8.2,8.9,168.0,351.0,2.0,2.0,0.32,0.32,78.0,170000.0,490.0,330000.0,2022,2,Moderate,Neutral (6.5–8.5)
1097,"RIVER RAVI AT U/S OF MADHOPUR HEADWORKS, GURDASPUR, PUNJAB",PUNJAB,12.0,37.0,7.3,10.3,7.6,8.2,149.0,230.0,1.1,1.2,0.4,0.8,17.0,33.0,94.0,170.0,2022,4,Excellent,Neutral (6.5–8.5)
1290,"RIVER               PARVATI BEFORE      CONF.      TO
RIVER        BEAS        AT BHUNTER",HIMACHAL PRADESH,3.0,17.0,7.2,9.2,7.42,8.3,51.0,94.0,2.6251969852689276,5.892971727105102,0.32,1.99,32.0,170.0,210.0,920.0,2022,3,Good,Neutral (6.5–8.5)
2605,RIVER     PARVATI     AT U/S MANIKARAN,HIMACHAL PRADESH,3.0,10.0,7.6,9.4,7.08,8.39,42.0,92.0,2.6251969852689276,5.892971727105102,0.32,1.64,21.0,43.0,58.0,170.0,2022,3,Good,Neutral (6.5–8.5)
2606,RIVER     PARVATI     AT D/S MANIKARAN,HIMACHAL PRADESH,3.0,12.0,7.6,9.2,6.85,8.36,38.0,103.0,2.6251969852689276,5.892971727105102,0.32,1.8,21.0,47.0,84.0,240.0,2022,3,Good,Neutral (6.5–8.5)
1551,RIVER       SIRSA       U/S SITOMAJRI NALLAH,HIMACHAL PRADESH,11.0,25.0,5.2,9.1,7.32,8.21,403.0,754.0,1.1,12.0,0.47,9.91,2.0,70.0,38.0,920.0,2022,3,Good,Neutral (6.5–8.5)
1552,RIVER       SIRSA       D/S NALAGARH BRIDGE,HIMACHAL PRADESH,11.0,29.0,5.0,7.8,7.28,8.42,459.0,1759.0,1.2,13.0,0.32,12.11,2.0,94.0,25.0,280.0,2022,3,Good,Neutral (6.5–8.5)
1868,RIVER     SIRSA         D/S NALAGARH  TOWN,HIMACHAL PRADESH,11.0,30.0,5.5,9.6,7.41,8.22,419.0,1300.0,1.2,4.0,0.64,8.9,2.0,49.0,27.0,540.0,2022,3,Good,Neutral (6.5–8.5)
4485,RIVER       SIRSA       U/S SANDHOLI NALLAH,HIMACHAL PRADESH,12.0,28.0,1.0,7.0,7.45,8.52,283.0,665.0,1.1,5.5,1.48,7.86,2.0,79.0,47.0,350.0,2022,1,Polluted,Neutral (6.5–8.5)
4487,RIVER       SIRSA       D/S HOUSING            BOARD NALLAH,HIMACHAL PRADESH,11.0,30.0,3.5,5.6,6.88,8.31,563.0,1466.0,2.0,8.8,1.42,18.03,2.0,110.0,21.0,350.0,2022,2,Moderate,Neutral (6.5–8.5)
4489,RIVER    SIRSA    AFTER CONF.        TO        RIVER RATTA,HIMACHAL PRADESH,10.0,30.0,4.5,7.0,7.21,8.28,642.0,1616.0,2.0,27.0,0.86,6.92,2.0,140.0,33.0,560.0,2022,2,Moderate,Neutral (6.5–8.5)
30012,"RIVER       SARSA       AT BADDI      ,      ,GHANOLI
VILLAGE) PUNJAB",PUNJAB,19.0,29.0,4.7,8.7,7.6,8.4,727.0,1522.0,5.0,14.0,3.75,6.5,4900.0,920000.0,11000.0,2400000.0,2022,1,Polluted,Neutral (6.5–8.5)
2616,RIVER BAIRA SIUL  D/S SURGANI,HIMACHAL PRADESH,8.0,19.0,8.6,9.2,6.72,8.14,130.0,301.0,2.6251969852689276,5.892971727105102,0.7343646138807429,4.21,2.0,26.0,21.0,1600.0,2022,3,Good,Neutral (6.5–8.5)
